Wavelength (nm),Irradiance (W/m^2 nm),Normalized,,wavelength,1.5 AM irrandiance,Normalized 1.5AM
,,,,1518,0.24489,1.71E-01
,,,,1519,0.23739,1.65E-01
,,,,1520,0.25688,1.79E-01
,,,,1521,0.26707,1.86E-01
,,,,1522,0.25617,1.79E-01
,,,,1523,0.27192,1.90E-01
,,,,1524,0.26743,1.86E-01
,,,,1525,0.2514,1.75E-01
,,,,1526,0.25977,1.81E-01
,,,,1527,0.25468,1.78E-01
,,,,1528,0.27122,1.89E-01
,,,,1529,0.2646,1.84E-01
,,,,1530,0.24789,1.73E-01
,,,,1531,0.262,1.83E-01
,,,,1532,0.27039,1.88E-01
,,,,1533,0.26918,1.88E-01
,,,,1534,0.26122,1.82E-01
,,,,1535,0.25924,1.81E-01
,,,,1536,0.26679,1.86E-01
,,,,1537,0.26558,1.85E-01
,,,,1538,0.26427,1.84E-01
,,,,1539,0.26519,1.85E-01
,,,,1540,0.25737,1.79E-01
,,,,1541,0.26141,1.82E-01
,,,,1542,0.26165,1.82E-01
,,,,1543,0.26439,1.84E-01
,,,,1544,0.26443,1.84E-01
,,,,1545,0.26922,1.88E-01
,,,,1546,0.26705,1.86E-01
,,,,1547,0.26537,1.85E-01
,,,,1548,0.2592,1.81E-01
,,,,1549,0.26568,1.85E-01
,,,,1550,0.26226,1.83E-01
,,,,1551,0.26293,1.83E-01
,,,,1552,0.26415,1.84E-01
,,,,1553,0.26366,1.84E-01
,,,,1554,0.25727,1.79E-01
,,,,1555,0.26005,1.81E-01
,,,,1556,0.25569,1.78E-01
,,,,1557,0.26301,1.83E-01
,,,,1558,0.26093,1.82E-01
,,,,1559,0.26054,1.82E-01
,,,,1560,0.25821,1.80E-01
,,,,1561,0.26242,1.83E-01
,,,,1562,0.26003,1.81E-01
,,,,1563,0.25917,1.81E-01
,,,,1564,0.25525,1.78E-01
,,,,1565,0.25975,1.81E-01
,,,,1566,0.25506,1.78E-01
,,,,1567,0.25566,1.78E-01
,,,,1568,0.24997,1.74E-01
,,,,1569,0.24736,1.72E-01
,,,,1570,0.23497,1.64E-01
,,,,1571,0.2285,1.59E-01
,,,,1572,0.23108,1.61E-01
,,,,1573,0.2275,1.59E-01
,,,,1574,0.23464,1.64E-01
,,,,1575,0.23294,1.62E-01
,,,,1576,0.2398,1.67E-01
,,,,1577,0.20994,1.46E-01
,,,,1578,0.22854,1.59E-01
,,,,1579,0.23005,1.60E-01
,,,,1580,0.23772,1.66E-01
,,,,1581,0.24165,1.68E-01
,,,,1582,0.23508,1.64E-01
,,,,1583,0.24051,1.68E-01
,,,,1584,0.24194,1.69E-01
,,,,1585,0.25135,1.75E-01
,,,,1586,0.24838,1.73E-01
,,,,1587,0.24579,1.71E-01
,,,,1588,0.24388,1.70E-01
,,,,1589,0.22567,1.57E-01
,,,,1590,0.23486,1.64E-01
,,,,1591,0.23503,1.64E-01
,,,,1592,0.24502,1.71E-01
,,,,1593,0.25092,1.75E-01
,,,,1594,0.2489,1.73E-01
,,,,1595,0.25083,1.75E-01
,,,,1596,0.23751,1.66E-01
,,,,1597,0.23985,1.67E-01
,,,,1598,0.24693,1.72E-01
,,,,1599,0.23511,1.64E-01
,,,,1600,0.23133,1.61E-01
,,,,1601,0.21691,1.51E-01
,,,,1602,0.2178,1.52E-01
,,,,1603,0.21765,1.52E-01
,,,,1604,0.22197,1.55E-01
,,,,1605,0.2301,1.60E-01
,,,,1606,0.23453,1.63E-01
,,,,1607,0.22637,1.58E-01
,,,,1608,0.22343,1.56E-01
,,,,1609,0.22088,1.54E-01
,,,,1610,0.21146,1.47E-01
,,,,1611,0.22039,1.54E-01
