Donor/acceptor pair,FOM 1.5G AM
PBDB-TF_dimer and IDTCF,31.29789100525193
PDCBT-Cl_tetra and IDTCF,28.687371671733775
PTB7-Th and IDTCF,45.25585496992364
P3HT and IDTCF,23.055325882870935
PBDB-T_tetra and IDTCF,58.68369252106821
PBDB-T-2Cl_dimer and IDTCF,31.261327394895368
PBDB-TF_dimer and PC70BM,24.70135842093851
PDCBT-Cl_tetra and PC70BM,22.090839087420385
PTB7-Th and PC70BM,38.65932238561023
P3HT and PC70BM,16.458793298557538
PBDB-T_tetra and PC70BM,52.08715993675479
PBDB-T-2Cl_dimer and PC70BM,24.66479481058198
PBDB-TF_dimer and N65-2FIC,46.067743671361804
PDCBT-Cl_tetra and N65-2FIC,43.45722433784366
PTB7-Th and N65-2FIC,60.025707636033495
P3HT and N65-2FIC,37.82517854898082
PBDB-T_tetra and N65-2FIC,73.45354518717815
PBDB-T-2Cl_dimer and N65-2FIC,46.031180061005195
PBDB-TF_dimer and PCBM,20.928293185640495
PDCBT-Cl_tetra and PCBM,18.317773852122347
PTB7-Th and PCBM,34.88625715031223
P3HT and PCBM,12.685728063259523
PBDB-T_tetra and PCBM,48.31409470145677
PBDB-T-2Cl_dimer and PCBM,20.891729575283964
PBDB-TF_dimer and IDIC,34.8453911484191
PDCBT-Cl_tetra and IDIC,32.234871814900934
PTB7-Th and IDIC,48.80335511309081
P3HT and IDIC,26.602826026038127
PBDB-T_tetra and IDIC,62.23119266423533
PBDB-T-2Cl_dimer and IDIC,34.808827538062545
PBDB-TF_dimer and TPIC,44.320439648687056
PDCBT-Cl_tetra and TPIC,41.709920315168944
PTB7-Th and TPIC,58.278403613358755
P3HT and TPIC,36.07787452630612
PBDB-T_tetra and TPIC,71.70624116450335
PBDB-T-2Cl_dimer and TPIC,44.2838760383305
PBDB-TF_dimer and F-H,47.80520208450586
PDCBT-Cl_tetra and F-H,45.194682750987745
PTB7-Th and F-H,61.76316604917756
P3HT and F-H,39.56263696212486
PBDB-T_tetra and F-H,75.19100360032219
PBDB-T-2Cl_dimer and F-H,47.768638474149284
PBDB-TF_dimer and IT-4F,46.20023780372915
PDCBT-Cl_tetra and IT-4F,43.58971847021103
PTB7-Th and IT-4F,60.158201768400865
P3HT and IT-4F,37.95767268134817
PBDB-T_tetra and IT-4F,73.58603931954542
PBDB-T-2Cl_dimer and IT-4F,46.163674193372586
PBDB-TF_dimer and Y2,45.85144832184661
PDCBT-Cl_tetra and Y2,43.240928988328484
PTB7-Th and Y2,59.809412286518274
P3HT and Y2,37.608883199465666
PBDB-T_tetra and Y2,73.2372498376629
PBDB-T-2Cl_dimer and Y2,45.81488471149004
PBDB-TF_dimer and SeTIC4Cl,47.41677647902876
PDCBT-Cl_tetra and SeTIC4Cl,44.8062571455107
PTB7-Th and SeTIC4Cl,61.37474044370054
P3HT and SeTIC4Cl,39.17421135664779
PBDB-T_tetra and SeTIC4Cl,74.80257799484508
PBDB-T-2Cl_dimer and SeTIC4Cl,47.380212868672224
PBDB-TF_dimer and TPIC-4F,44.06561469692249
PDCBT-Cl_tetra and TPIC-4F,41.45509536340432
PTB7-Th and TPIC-4F,58.02357866159418
P3HT and TPIC-4F,35.82304957454151
PBDB-T_tetra and TPIC-4F,71.45141621273878
PBDB-T-2Cl_dimer and TPIC-4F,44.0290510865659
