Molecule,HOMO-1 (eV),HOMO (eV),LUMO (eV),LUMO+1 (eV),Delta HOMO,delta LUMO,optical bandgap (cm-1),oscillator strength,single point energy,dipole moment (debye),summed oscs,Abs FOM,first oscs,highest oscs under ten,first Energy Transition eV,first Energy transition wavenumber,lowest Energy Transition eV,lowest Energy transition wavenumber
BTDT2R,-7.27,-6.54,-2.43,-1.47,0.7299999999999995,0.9600000000000002,17553.5,1.400462856,-4306.126002174873,6.00477,3.2126696690000003,15.28558924555833,1.400462856,1.400462856,2.1762829299999997,17553.5,2.1762829299999997,17553.5
FO-2F,-7.45,-6.85,-2.75,-2.52,0.6000000000000005,0.22999999999999998,17362.3,1.49371436,-4061.104329407213,10.16265,5.541336073,21.36321171115056,1.49371436,1.49371436,2.152577954,17362.3,2.152577954,17362.3
BT6IC-HD-4Cl,-7.12,-6.72,-2.81,-2.17,0.40000000000000036,0.6400000000000001,14530.8,0.744253124,-6648.225667908012,6.78408,4.9655845240000005,17.92071001288204,0.000214897,0.744253124,1.8015285839999997,14530.8,2.073788664,16726.8
ITIC-Th,-7.37,-6.56,-2.54,-2.28,0.8100000000000005,0.26000000000000023,17071.9,1.678463639,-6242.731750762048,0.18822,5.519844944999999,16.528370129836375,1.678463639,1.678463639,2.116574162,17071.9,2.116574162,17071.9
Y11,-7.48,-6.54,-2.85,-2.75,0.9400000000000004,0.10000000000000009,14200.9,1.027212066,-4707.056004962707,4.78244,5.512151072,17.52092966671446,0.003031339,1.027212066,1.7606275819999997,14200.9,1.9471430939999996,15705.3
CH1007,-7.16,-6.25,-2.64,-2.54,0.9100000000000001,0.10000000000000009,14103.6,1.055547864,-8978.000122654035,6.0987,5.167563861,19.704240652988414,0.001530026,1.055547864,1.7485643279999998,14103.6,1.996276368,16101.6
Y15,-7.05,-6.42,-3.0,-2.48,0.6299999999999999,0.52,11741.5,0.709489741,-6148.266383061433,11.9029,5.98971797,23.846502437585205,0.709489741,0.709489741,1.4557111699999998,11741.5,1.4557111699999998,11741.5
F-2F,-7.53,-6.84,-2.7,-2.44,0.6900000000000004,0.26000000000000023,18091.6,2.459474399,-3910.7983924129,3.6889,5.799863026000001,17.537213413416833,2.459474399,2.459474399,2.2429965679999997,18091.6,2.2429965679999997,18091.6
BTSe-4F,-7.39,-6.92,-2.72,-2.65,0.46999999999999975,0.07000000000000028,19448.8,1.355879969,-6304.147500195636,2.02987,4.909842363,13.794760157462918,1.355879969,1.355879969,2.4112622239999997,19448.8,2.4112622239999997,19448.8
O-IDTBR,-6.9,-6.24,-2.52,-2.26,0.6600000000000001,0.26000000000000023,15672.9,2.518248269,-5513.82532779299,1.514,4.293874345,15.569520378699288,2.518248269,2.518248269,1.9431261419999997,15672.9,1.9431261419999997,15672.9
ITIC,-7.4,-6.52,-2.53,-2.25,0.8800000000000008,0.2799999999999998,16922.2,1.786497765,-4959.758023426406,0.42617,5.464171236999999,16.280964466115044,1.786497765,1.786497765,2.0980143559999997,16922.2,2.0980143559999997,16922.2
ITCC,-7.42,-6.55,-2.42,-2.15,0.8700000000000001,0.27,18025.7,1.746525644,-5601.246605320259,6.38916,5.940574527,22.32487093028491,1.746525644,1.746525644,2.234826286,18025.7,2.234826286,18025.7
i-cc34,-7.22,-6.19,-2.4,-2.2,1.0299999999999994,0.19999999999999973,16778.6,1.589753674,-5984.626719702478,6.07653,5.345975107,12.480147827874715,0.012050908,1.589753674,2.080210828,16778.6,3.0563053679999994,24651.6
CPDT-4F,-7.55,-6.64,-2.9,-2.41,0.9100000000000001,0.48999999999999977,15569.6,2.81688327,-4357.170662436091,4.46796,5.633964172,14.493365370802561,2.81688327,2.81688327,1.930319008,15569.6,1.930319008,15569.6
BDTN-BF,-7.28,-6.48,-2.67,-2.36,0.7999999999999998,0.31000000000000005,16182.3,2.166042876,-4929.70616498976,5.40561,6.189634468999999,21.39727578329053,2.166042876,2.166042876,2.0062815539999996,16182.3,2.0062815539999996,16182.3
