Donor/acceptor pair,FOM 1.5G AM
PBDB-T_tetra and PC70BM,47.13530500139595
PDCBT-Cl_tetra and PC70BM,21.38744057577687
PTB7-Th_tetra and PC70BM,30.279560381321616
P3HT and PCBM,9.836980841268002
PBDB-T-2Cl_dimer and PCBM,18.219170747252374
PBDB-TF_dimer and PCBM,20.073292565942513
PBDB-T_tetra and PCBM,43.24285368217489
PDCBT-Cl_tetra and PCBM,17.49498925655588
PTB7-Th_tetra and PCBM,26.387109062100574
P3HT and SNBDT1-F,42.006375738947256
PBDB-T-2Cl_dimer and SNBDT1-F,50.388565644931596
PBDB-TF_dimer and SNBDT1-F,52.242687463621756
PBDB-T_tetra and SNBDT1-F,75.41224857985408
PDCBT-Cl_tetra and SNBDT1-F,49.66438415423512
PTB7-Th_tetra and SNBDT1-F,58.55650395977986
P3HT and SeTIC,30.86813698549228
PBDB-T-2Cl_dimer and SeTIC,39.25032689147669
PBDB-TF_dimer and SeTIC,41.10444871016681
PBDB-T_tetra and SeTIC,64.27400982639921
PDCBT-Cl_tetra and SeTIC,38.52614540078018
PTB7-Th_tetra and SeTIC,47.41826520632489
P3HT and SeTIC4Cl,37.34003848288763
PBDB-T-2Cl_dimer and SeTIC4Cl,45.722228388872
PBDB-TF_dimer and SeTIC4Cl,47.5763502075622
PBDB-T_tetra and SeTIC4Cl,70.74591132379456
PDCBT-Cl_tetra and SeTIC4Cl,44.998046898175566
PTB7-Th_tetra and SeTIC4Cl,53.8901667037203
P3HT and TPIC-4Cl,35.122679377302156
PBDB-T-2Cl_dimer and TPIC-4Cl,43.504869283286546
PBDB-TF_dimer and TPIC-4Cl,45.35899110197666
PBDB-T_tetra and TPIC-4Cl,68.52855221820907
PDCBT-Cl_tetra and TPIC-4Cl,42.78068779259007
PTB7-Th_tetra and TPIC-4Cl,51.672807598134774
P3HT and TPIC-4F,35.31892741021535
PBDB-T-2Cl_dimer and TPIC-4F,43.70111731619972
PBDB-TF_dimer and TPIC-4F,45.55523913488991
PBDB-T_tetra and TPIC-4F,68.72480025112226
PDCBT-Cl_tetra and TPIC-4F,42.976935825503276
PTB7-Th_tetra and TPIC-4F,51.86905563104798
P3HT and TPIC,37.38931535294631
PBDB-T-2Cl_dimer and TPIC,45.771505258930695
PBDB-TF_dimer and TPIC,47.62562707762087
PBDB-T_tetra and TPIC,70.79518819385322
PDCBT-Cl_tetra and TPIC,45.04732376823429
PTB7-Th_tetra and TPIC,53.93944357377897
P3HT and Y1-4F,36.09494079859376
PBDB-T-2Cl_dimer and Y1-4F,44.477130704578094
PBDB-TF_dimer and Y1-4F,46.33125252326824
PBDB-T_tetra and Y1-4F,69.50081363950062
PDCBT-Cl_tetra and Y1-4F,43.75294921388162
PTB7-Th_tetra and Y1-4F,52.64506901942631
P3HT and Y1,35.24047029012148
PBDB-T-2Cl_dimer and Y1,43.622660196105805
PBDB-TF_dimer and Y1,45.476782014795894
PBDB-T_tetra and Y1,68.64634313102827
PDCBT-Cl_tetra and Y1,42.898478705409325
PTB7-Th_tetra and Y1,51.790598510954084
P3HT and Y11,36.4988564307617
PBDB-T-2Cl_dimer and Y11,44.88104633674612
PBDB-TF_dimer and Y11,46.73516815543622
PBDB-T_tetra and Y11,69.90472927166851
PDCBT-Cl_tetra and Y11,44.15686484604959
PTB7-Th_tetra and Y11,53.048984651594346
P3HT and Y14,37.45804309102708
PBDB-T-2Cl_dimer and Y14,45.84023299701151
PBDB-TF_dimer and Y14,47.69435481570166
PBDB-T_tetra and Y14,70.863915931934
PDCBT-Cl_tetra and Y14,45.11605150631498
PTB7-Th_tetra and Y14,54.008171311859755
P3HT and Y15,37.775633742307015
PBDB-T-2Cl_dimer and Y15,46.15782364829143
PBDB-TF_dimer and Y15,48.0119454669816
PBDB-T_tetra and Y15,71.18150658321397
PDCBT-Cl_tetra and Y15,45.43364215759495
PTB7-Th_tetra and Y15,54.325761963139634
P3HT and Y16,36.68245220543889
PBDB-T-2Cl_dimer and Y16,45.0646421114232
PBDB-TF_dimer and Y16,46.91876393011336
PBDB-T_tetra and Y16,70.08832504634566
PDCBT-Cl_tetra and Y16,44.340460620726745
PTB7-Th_tetra and Y16,53.23258042627152
P3HT and Y2,32.27754524452066
PBDB-T-2Cl_dimer and Y2,40.659735150505064
PBDB-TF_dimer and Y2,42.51385696919514
PBDB-T_tetra and Y2,65.68341808542763
PDCBT-Cl_tetra and Y2,39.93555365980856
PTB7-Th_tetra and Y2,48.827673465353286
P3HT and Y5,35.77278182359845
PBDB-T-2Cl_dimer and Y5,44.15497172958289
PBDB-TF_dimer and Y5,46.00909354827304
PBDB-T_tetra and Y5,69.17865466450533
PDCBT-Cl_tetra and Y5,43.43079023888637
PTB7-Th_tetra and Y5,52.32291004443107
P3HT and Y6,36.530552031068964
PBDB-T-2Cl_dimer and Y6,44.91274193705324
PBDB-TF_dimer and Y6,46.76686375574353
PBDB-T_tetra and Y6,69.9364248719758
PDCBT-Cl_tetra and Y6,44.18856044635687
PTB7-Th_tetra and Y6,53.08068025190156
P3HT and ZY-4Cl,35.00675767492968
PBDB-T-2Cl_dimer and ZY-4Cl,43.388947580914014
PBDB-TF_dimer and ZY-4Cl,45.2430693996042
PBDB-T_tetra and ZY-4Cl,68.41263051583657
PDCBT-Cl_tetra and ZY-4Cl,42.66476609021755
PTB7-Th_tetra and ZY-4Cl,51.556885895762285
P3HT and i-cc23,30.62471334936448
PBDB-T-2Cl_dimer and i-cc23,39.006903255348846
PBDB-TF_dimer and i-cc23,40.861025074039034
PBDB-T_tetra and i-cc23,64.03058619027145
PDCBT-Cl_tetra and i-cc23,38.282721764652315
PTB7-Th_tetra and i-cc23,47.174841570197124
P3HT and i-cc34,28.486733390046183
PBDB-T-2Cl_dimer and i-cc34,36.868923296030566
PBDB-TF_dimer and i-cc34,38.723045114720684
